Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Fertilizer
85,60,115,7.5,1500,35,MOP
90,60,115,7.5,1500,35,MOP
95,60,115,7.5,1500,35,MOP
100,60,115,7.5,1500,35,MOP
20,25,25,6.5,600,25,10:26:26 NPK
25,25,25,6.5,600,25,10:26:26 NPK
30,25,25,6.5,600,25,10:26:26 NPK
35,25,25,6.5,600,25,10:26:26 NPK
40,25,25,6.5,600,25,10:26:26 NPK
20,30,30,7,700,30,10:26:26 NPK
25,30,30,7,700,30,10:26:26 NPK
30,30,30,7,700,30,10:26:26 NPK
35,30,30,7,700,30,10:26:26 NPK
40,30,30,7,700,30,10:26:26 NPK
20,35,35,7.5,800,25,10:26:26 NPK
25,35,35,7.5,800,25,10:26:26 NPK
30,35,35,7.5,800,25,10:26:26 NPK
35,35,35,7.5,800,25,10:26:26 NPK
40,35,35,7.5,800,25,10:26:26 NPK
20,25,40,6.5,600,30,10:26:26 NPK
25,25,40,6.5,600,30,10:26:26 NPK
30,25,40,6.5,600,30,10:26:26 NPK
35,25,40,6.5,600,30,10:26:26 NPK
40,25,40,6.5,600,30,10:26:26 NPK
20,30,25,7,700,25,Urea
25,30,25,7,700,25,Urea
30,30,25,7,700,25,Urea
35,30,25,7,700,25,Urea
40,30,25,7,700,25,Urea
20,35,30,7.5,800,30,Urea
25,35,30,7.5,800,30,Urea
30,35,30,7.5,800,30,Urea
35,35,30,7.5,800,30,Urea
40,35,30,7.5,800,30,Urea
20,25,35,6.5,600,25,Urea
25,25,35,6.5,600,25,Urea
30,25,35,6.5,600,25,Urea
35,25,35,6.5,600,25,Urea
40,25,35,6.5,600,25,Urea
20,30,40,7,700,30,Urea
25,30,40,7,700,30,Urea
30,30,40,7,700,30,Urea
35,30,40,7,700,30,Urea
40,30,40,7,700,30,Urea
20,35,25,7.5,800,25,SSP
25,35,25,7.5,800,25,SSP
30,35,25,7.5,800,25,SSP
35,35,25,7.5,800,25,SSP
40,35,25,7.5,800,25,SSP
20,25,30,6.5,600,30,SSP
25,25,30,6.5,600,30,SSP
30,25,30,6.5,600,30,SSP
35,25,30,6.5,600,30,SSP
40,25,30,6.5,600,30,SSP
20,30,35,7,700,25,SSP
25,30,35,7,700,25,SSP
30,30,35,7,700,25,SSP
35,30,35,7,700,25,SSP
40,30,35,7,700,25,SSP
20,35,40,7.5,800,30,SSP
25,35,40,7.5,800,30,SSP
30,35,40,7.5,800,30,SSP
35,35,40,7.5,800,30,SSP
40,35,40,7.5,800,30,SSP
40,20,20,6,600,25,10:26:26 NPK
45,20,20,6,600,25,10:26:26 NPK
50,20,20,6,600,25,10:26:26 NPK
40,25,25,6.5,700,30,10:26:26 NPK
45,25,25,6.5,700,30,10:26:26 NPK
50,25,25,6.5,700,30,10:26:26 NPK
40,20,25,7,800,25,10:26:26 NPK
45,20,25,7,800,25,10:26:26 NPK
50,20,25,7,800,25,10:26:26 NPK
40,25,20,7.5,600,30,10:26:26 NPK
45,25,20,7.5,600,30,10:26:26 NPK
50,25,20,7.5,600,30,10:26:26 NPK
100,40,50,6,800,25,DAP
105,40,50,6,800,25,DAP
110,40,50,6,800,25,DAP
115,40,50,6,800,25,DAP
120,40,50,6,800,25,DAP
125,40,50,6,800,25,DAP
130,40,50,6,800,25,DAP
135,40,50,6,800,25,DAP
140,40,50,6,800,25,DAP
145,40,50,6,800,25,DAP
150,40,50,6,800,25,DAP
100,45,55,6.5,900,30,DAP
105,45,55,6.5,900,30,DAP
110,45,55,6.5,900,30,DAP
115,45,55,6.5,900,30,DAP
120,45,55,6.5,900,30,DAP
125,45,55,6.5,900,30,DAP
130,45,55,6.5,900,30,DAP
135,45,55,6.5,900,30,DAP
140,45,55,6.5,900,30,DAP
145,45,55,6.5,900,30,DAP
150,45,55,6.5,900,30,DAP
100,50,60,7,1000,35,DAP
105,50,60,7,1000,35,DAP
110,50,60,7,1000,35,DAP
115,50,60,7,1000,35,DAP
120,50,60,7,1000,35,DAP
125,50,60,7,1000,35,DAP
130,50,60,7,1000,35,DAP
135,50,60,7,1000,35,DAP
140,50,60,7,1000,35,DAP
145,50,60,7,1000,35,DAP
150,50,60,7,1000,35,DAP
100,55,65,7.5,800,25,DAP
105,55,65,7.5,800,25,DAP
110,55,65,7.5,800,25,DAP
115,55,65,7.5,800,25,DAP
120,55,65,7.5,800,25,DAP
125,55,65,7.5,800,25,DAP
130,55,65,7.5,800,25,DAP
135,55,65,7.5,800,25,DAP
140,55,65,7.5,800,25,DAP
145,55,65,7.5,800,25,DAP
150,55,65,7.5,800,25,DAP
100,60,70,6,900,30,DAP
105,60,70,6,900,30,DAP
110,60,70,6,900,30,DAP
115,60,70,6,900,30,DAP
120,60,70,6,900,30,DAP
125,60,70,6,900,30,DAP
130,60,70,6,900,30,DAP
135,60,70,6,900,30,DAP
140,60,70,6,900,30,DAP
145,60,70,6,900,30,DAP
150,60,70,6,900,30,DAP
100,40,75,6.5,1000,35,DAP
105,40,75,6.5,1000,35,DAP
110,40,75,6.5,1000,35,DAP
115,40,75,6.5,1000,35,DAP
120,40,75,6.5,1000,35,DAP
125,40,75,6.5,1000,35,DAP
130,40,75,6.5,1000,35,DAP
135,40,75,6.5,1000,35,DAP
140,40,75,6.5,1000,35,DAP
145,40,75,6.5,1000,35,DAP
150,40,75,6.5,1000,35,DAP
100,45,50,6,800,25,Magnesium Sulphate
105,45,50,6,800,25,Magnesium Sulphate
110,45,50,6,800,25,Magnesium Sulphate
115,45,50,6,800,25,Magnesium Sulphate
120,45,50,6,800,25,Magnesium Sulphate
125,45,50,6,800,25,Magnesium Sulphate
130,45,50,6,800,25,Magnesium Sulphate
135,45,50,6,800,25,Magnesium Sulphate
140,45,50,6,800,25,Magnesium Sulphate
145,45,50,6,800,25,Magnesium Sulphate
150,45,50,6,800,25,Magnesium Sulphate
100,50,55,6.5,900,30,Magnesium Sulphate
105,50,55,6.5,900,30,Magnesium Sulphate
110,50,55,6.5,900,30,Magnesium Sulphate
115,50,55,6.5,900,30,Magnesium Sulphate
120,50,55,6.5,900,30,Magnesium Sulphate
125,50,55,6.5,900,30,Magnesium Sulphate
130,50,55,6.5,900,30,Magnesium Sulphate
135,50,55,6.5,900,30,Magnesium Sulphate
140,50,55,6.5,900,30,Magnesium Sulphate
145,50,55,6.5,900,30,Magnesium Sulphate
150,50,55,6.5,900,30,Magnesium Sulphate
100,55,60,7,1000,35,Magnesium Sulphate
105,55,60,7,1000,35,Magnesium Sulphate
110,55,60,7,1000,35,Magnesium Sulphate
115,55,60,7,1000,35,Magnesium Sulphate
120,55,60,7,1000,35,Magnesium Sulphate
125,55,60,7,1000,35,Magnesium Sulphate
130,55,60,7,1000,35,Magnesium Sulphate
135,55,60,7,1000,35,Magnesium Sulphate
140,55,60,7,1000,35,Magnesium Sulphate
145,55,60,7,1000,35,Magnesium Sulphate
150,55,60,7,1000,35,Magnesium Sulphate
100,60,65,7.5,800,25,Magnesium Sulphate
105,60,65,7.5,800,25,Magnesium Sulphate
110,60,65,7.5,800,25,Magnesium Sulphate
115,60,65,7.5,800,25,Magnesium Sulphate
120,60,65,7.5,800,25,Magnesium Sulphate
125,60,65,7.5,800,25,Magnesium Sulphate
130,60,65,7.5,800,25,Magnesium Sulphate
135,60,65,7.5,800,25,Magnesium Sulphate
140,60,65,7.5,800,25,Magnesium Sulphate
145,60,65,7.5,800,25,Magnesium Sulphate
150,60,65,7.5,800,25,Magnesium Sulphate
100,40,70,6,900,30,Magnesium Sulphate
105,40,70,6,900,30,Magnesium Sulphate
110,40,70,6,900,30,Magnesium Sulphate
115,40,70,6,900,30,Magnesium Sulphate
120,40,70,6,900,30,Magnesium Sulphate
125,40,70,6,900,30,Magnesium Sulphate
130,40,70,6,900,30,Magnesium Sulphate
135,40,70,6,900,30,Magnesium Sulphate
140,40,70,6,900,30,Magnesium Sulphate
145,40,70,6,900,30,Magnesium Sulphate
150,40,70,6,900,30,Magnesium Sulphate
100,45,75,6.5,1000,35,Magnesium Sulphate
105,45,75,6.5,1000,35,Magnesium Sulphate
110,45,75,6.5,1000,35,Magnesium Sulphate
115,45,75,6.5,1000,35,Magnesium Sulphate
120,45,75,6.5,1000,35,Magnesium Sulphate
125,45,75,6.5,1000,35,Magnesium Sulphate
130,45,75,6.5,1000,35,Magnesium Sulphate
135,45,75,6.5,1000,35,Magnesium Sulphate
140,45,75,6.5,1000,35,Magnesium Sulphate
145,45,75,6.5,1000,35,Magnesium Sulphate
150,45,75,6.5,1000,35,Magnesium Sulphate
100,50,50,7,800,25,13:32:26 NPK
105,50,50,7,800,25,13:32:26 NPK
110,50,50,7,800,25,13:32:26 NPK
115,50,50,7,800,25,13:32:26 NPK
120,50,50,7,800,25,13:32:26 NPK
125,50,50,7,800,25,13:32:26 NPK
130,50,50,7,800,25,13:32:26 NPK
135,50,50,7,800,25,13:32:26 NPK
140,50,50,7,800,25,13:32:26 NPK
145,50,50,7,800,25,13:32:26 NPK
150,50,50,7,800,25,13:32:26 NPK
100,55,55,7.5,900,30,13:32:26 NPK
105,55,55,7.5,900,30,13:32:26 NPK
110,55,55,7.5,900,30,13:32:26 NPK
115,55,55,7.5,900,30,13:32:26 NPK
120,55,55,7.5,900,30,13:32:26 NPK
125,55,55,7.5,900,30,13:32:26 NPK
130,55,55,7.5,900,30,13:32:26 NPK
135,55,55,7.5,900,30,13:32:26 NPK
140,55,55,7.5,900,30,13:32:26 NPK
145,55,55,7.5,900,30,13:32:26 NPK
150,55,55,7.5,900,30,13:32:26 NPK
100,60,60,6,1000,35,13:32:26 NPK
105,60,60,6,1000,35,13:32:26 NPK
110,60,60,6,1000,35,13:32:26 NPK
115,60,60,6,1000,35,13:32:26 NPK
120,60,60,6,1000,35,13:32:26 NPK
125,60,60,6,1000,35,13:32:26 NPK
130,60,60,6,1000,35,13:32:26 NPK
135,60,60,6,1000,35,13:32:26 NPK
140,60,60,6,1000,35,13:32:26 NPK
145,60,60,6,1000,35,13:32:26 NPK
150,60,60,6,1000,35,13:32:26 NPK
100,40,65,6.5,800,25,13:32:26 NPK
105,40,65,6.5,800,25,13:32:26 NPK
110,40,65,6.5,800,25,13:32:26 NPK
115,40,65,6.5,800,25,13:32:26 NPK
120,40,65,6.5,800,25,13:32:26 NPK
125,40,65,6.5,800,25,13:32:26 NPK
130,40,65,6.5,800,25,13:32:26 NPK
135,40,65,6.5,800,25,13:32:26 NPK
140,40,65,6.5,800,25,13:32:26 NPK
145,40,65,6.5,800,25,13:32:26 NPK
150,40,65,6.5,800,25,13:32:26 NPK
100,45,70,7,900,30,13:32:26 NPK
105,45,70,7,900,30,13:32:26 NPK
110,45,70,7,900,30,13:32:26 NPK
115,45,70,7,900,30,13:32:26 NPK
120,45,70,7,900,30,13:32:26 NPK
125,45,70,7,900,30,13:32:26 NPK
130,45,70,7,900,30,13:32:26 NPK
135,45,70,7,900,30,13:32:26 NPK
140,45,70,7,900,30,13:32:26 NPK
145,45,70,7,900,30,13:32:26 NPK
150,45,70,7,900,30,13:32:26 NPK
100,50,75,7.5,1000,35,13:32:26 NPK
105,50,75,7.5,1000,35,13:32:26 NPK
110,50,75,7.5,1000,35,13:32:26 NPK
115,50,75,7.5,1000,35,13:32:26 NPK
120,50,75,7.5,1000,35,13:32:26 NPK
125,50,75,7.5,1000,35,13:32:26 NPK
130,50,75,7.5,1000,35,13:32:26 NPK
135,50,75,7.5,1000,35,13:32:26 NPK
140,50,75,7.5,1000,35,13:32:26 NPK
145,50,75,7.5,1000,35,13:32:26 NPK
150,50,75,7.5,1000,35,13:32:26 NPK
100,55,50,6,800,25,DAP
105,55,50,6,800,25,DAP
110,55,50,6,800,25,DAP
115,55,50,6,800,25,DAP
120,55,50,6,800,25,DAP
125,55,50,6,800,25,DAP
130,55,50,6,800,25,DAP
135,55,50,6,800,25,DAP
140,55,50,6,800,25,DAP
145,55,50,6,800,25,DAP
150,55,50,6,800,25,DAP
100,60,55,6.5,900,30,DAP
105,60,55,6.5,900,30,DAP
110,60,55,6.5,900,30,DAP
115,60,55,6.5,900,30,DAP
120,60,55,6.5,900,30,DAP
125,60,55,6.5,900,30,DAP
130,60,55,6.5,900,30,DAP
135,60,55,6.5,900,30,DAP
140,60,55,6.5,900,30,DAP
145,60,55,6.5,900,30,DAP
150,60,55,6.5,900,30,DAP
100,40,60,7,1000,35,DAP
105,40,60,7,1000,35,DAP
110,40,60,7,1000,35,DAP
115,40,60,7,1000,35,DAP
120,40,60,7,1000,35,DAP
125,40,60,7,1000,35,DAP
130,40,60,7,1000,35,DAP
135,40,60,7,1000,35,DAP
140,40,60,7,1000,35,DAP
145,40,60,7,1000,35,DAP
150,40,60,7,1000,35,DAP
100,45,65,7.5,800,25,DAP
105,45,65,7.5,800,25,DAP
110,45,65,7.5,800,25,DAP
115,45,65,7.5,800,25,DAP
120,45,65,7.5,800,25,DAP
125,45,65,7.5,800,25,DAP
130,45,65,7.5,800,25,DAP
135,45,65,7.5,800,25,DAP
140,45,65,7.5,800,25,DAP
145,45,65,7.5,800,25,DAP
150,45,65,7.5,800,25,DAP
100,50,70,6,900,30,DAP
105,50,70,6,900,30,DAP
110,50,70,6,900,30,DAP
115,50,70,6,900,30,DAP
120,50,70,6,900,30,DAP
125,50,70,6,900,30,DAP
130,50,70,6,900,30,DAP
135,50,70,6,900,30,DAP
140,50,70,6,900,30,DAP
145,50,70,6,900,30,DAP
150,50,70,6,900,30,DAP
100,55,75,6.5,1000,35,DAP
105,55,75,6.5,1000,35,DAP
110,55,75,6.5,1000,35,DAP
115,55,75,6.5,1000,35,DAP
120,55,75,6.5,1000,35,DAP
125,55,75,6.5,1000,35,DAP
130,55,75,6.5,1000,35,DAP
135,55,75,6.5,1000,35,DAP
140,55,75,6.5,1000,35,DAP
145,55,75,6.5,1000,35,DAP
150,55,75,6.5,1000,35,DAP
100,60,50,7,800,25,Magnesium Sulphate
105,60,50,7,800,25,Magnesium Sulphate
110,60,50,7,800,25,Magnesium Sulphate
115,60,50,7,800,25,Magnesium Sulphate
120,60,50,7,800,25,Magnesium Sulphate
125,60,50,7,800,25,Magnesium Sulphate
130,60,50,7,800,25,Magnesium Sulphate
135,60,50,7,800,25,Magnesium Sulphate
140,60,50,7,800,25,Magnesium Sulphate
145,60,50,7,800,25,Magnesium Sulphate
150,60,50,7,800,25,Magnesium Sulphate
100,40,55,7.5,900,30,Magnesium Sulphate
105,40,55,7.5,900,30,Magnesium Sulphate
110,40,55,7.5,900,30,Magnesium Sulphate
115,40,55,7.5,900,30,Magnesium Sulphate
120,40,55,7.5,900,30,Magnesium Sulphate
125,40,55,7.5,900,30,Magnesium Sulphate
130,40,55,7.5,900,30,Magnesium Sulphate
135,40,55,7.5,900,30,Magnesium Sulphate
140,40,55,7.5,900,30,Magnesium Sulphate
145,40,55,7.5,900,30,Magnesium Sulphate
150,40,55,7.5,900,30,Magnesium Sulphate
100,45,60,6,1000,35,Magnesium Sulphate
105,45,60,6,1000,35,Magnesium Sulphate
110,45,60,6,1000,35,Magnesium Sulphate
115,45,60,6,1000,35,Magnesium Sulphate
120,45,60,6,1000,35,Magnesium Sulphate
125,45,60,6,1000,35,Magnesium Sulphate
130,45,60,6,1000,35,Magnesium Sulphate
135,45,60,6,1000,35,Magnesium Sulphate
140,45,60,6,1000,35,Magnesium Sulphate
145,45,60,6,1000,35,Magnesium Sulphate
150,45,60,6,1000,35,Magnesium Sulphate
100,50,65,6.5,800,25,Magnesium Sulphate
105,50,65,6.5,800,25,Magnesium Sulphate
110,50,65,6.5,800,25,Magnesium Sulphate
115,50,65,6.5,800,25,Magnesium Sulphate
120,50,65,6.5,800,25,Magnesium Sulphate
125,50,65,6.5,800,25,Magnesium Sulphate
130,50,65,6.5,800,25,Magnesium Sulphate
135,50,65,6.5,800,25,Magnesium Sulphate
140,50,65,6.5,800,25,Magnesium Sulphate
145,50,65,6.5,800,25,Magnesium Sulphate
150,50,65,6.5,800,25,Magnesium Sulphate
100,55,70,7,900,30,Magnesium Sulphate
105,55,70,7,900,30,Magnesium Sulphate
110,55,70,7,900,30,Magnesium Sulphate
115,55,70,7,900,30,Magnesium Sulphate
120,55,70,7,900,30,Magnesium Sulphate
125,55,70,7,900,30,Magnesium Sulphate
130,55,70,7,900,30,Magnesium Sulphate
135,55,70,7,900,30,Magnesium Sulphate
140,55,70,7,900,30,Magnesium Sulphate
145,55,70,7,900,30,Magnesium Sulphate
150,55,70,7,900,30,Magnesium Sulphate
100,60,75,7.5,1000,35,Magnesium Sulphate
105,60,75,7.5,1000,35,Magnesium Sulphate
110,60,75,7.5,1000,35,Magnesium Sulphate
115,60,75,7.5,1000,35,Magnesium Sulphate
120,60,75,7.5,1000,35,Magnesium Sulphate
125,60,75,7.5,1000,35,Magnesium Sulphate
130,60,75,7.5,1000,35,Magnesium Sulphate
135,60,75,7.5,1000,35,Magnesium Sulphate
140,60,75,7.5,1000,35,Magnesium Sulphate
145,60,75,7.5,1000,35,Magnesium Sulphate
150,60,75,7.5,1000,35,Magnesium Sulphate
100,60,40,6,800,25,12:32:16 NPK
105,60,40,6,800,25,12:32:16 NPK
110,60,40,6,800,25,12:32:16 NPK
115,60,40,6,800,25,12:32:16 NPK
120,60,40,6,800,25,12:32:16 NPK
100,65,45,6.5,900,30,12:32:16 NPK
105,65,45,6.5,900,30,12:32:16 NPK
110,65,45,6.5,900,30,12:32:16 NPK
115,65,45,6.5,900,30,12:32:16 NPK
120,65,45,6.5,900,30,12:32:16 NPK
100,70,50,7,1000,35,12:32:16 NPK
105,70,50,7,1000,35,12:32:16 NPK
110,70,50,7,1000,35,12:32:16 NPK
115,70,50,7,1000,35,12:32:16 NPK
120,70,50,7,1000,35,12:32:16 NPK
100,75,55,7.5,800,25,12:32:16 NPK
105,75,55,7.5,800,25,12:32:16 NPK
110,75,55,7.5,800,25,12:32:16 NPK
115,75,55,7.5,800,25,12:32:16 NPK
120,75,55,7.5,800,25,12:32:16 NPK
100,80,60,6,900,30,12:32:16 NPK
105,80,60,6,900,30,12:32:16 NPK
110,80,60,6,900,30,12:32:16 NPK
115,80,60,6,900,30,12:32:16 NPK
120,80,60,6,900,30,12:32:16 NPK
100,60,65,6.5,1000,35,12:32:16 NPK
105,60,65,6.5,1000,35,12:32:16 NPK
110,60,65,6.5,1000,35,12:32:16 NPK
115,60,65,6.5,1000,35,12:32:16 NPK
120,60,65,6.5,1000,35,12:32:16 NPK
100,65,40,7,800,25,12:32:16 NPK
105,65,40,7,800,25,12:32:16 NPK
110,65,40,7,800,25,12:32:16 NPK
115,65,40,7,800,25,12:32:16 NPK
120,65,40,7,800,25,12:32:16 NPK
100,70,45,7.5,900,30,12:32:16 NPK
105,70,45,7.5,900,30,12:32:16 NPK
110,70,45,7.5,900,30,12:32:16 NPK
115,70,45,7.5,900,30,12:32:16 NPK
120,70,45,7.5,900,30,12:32:16 NPK
100,75,50,6,1000,35,12:32:16 NPK
105,75,50,6,1000,35,12:32:16 NPK
110,75,50,6,1000,35,12:32:16 NPK
115,75,50,6,1000,35,12:32:16 NPK
120,75,50,6,1000,35,12:32:16 NPK
100,80,55,6.5,800,25,12:32:16 NPK
105,80,55,6.5,800,25,12:32:16 NPK
110,80,55,6.5,800,25,12:32:16 NPK
115,80,55,6.5,800,25,12:32:16 NPK
120,80,55,6.5,800,25,12:32:16 NPK
100,60,60,7,900,30,12:32:16 NPK
105,60,60,7,900,30,12:32:16 NPK
110,60,60,7,900,30,12:32:16 NPK
115,60,60,7,900,30,12:32:16 NPK
120,60,60,7,900,30,12:32:16 NPK
100,65,65,7.5,1000,35,12:32:16 NPK
105,65,65,7.5,1000,35,12:32:16 NPK
110,65,65,7.5,1000,35,12:32:16 NPK
115,65,65,7.5,1000,35,12:32:16 NPK
120,65,65,7.5,1000,35,12:32:16 NPK
100,70,40,6,800,25,12:32:16 NPK
105,70,40,6,800,25,12:32:16 NPK
110,70,40,6,800,25,12:32:16 NPK
115,70,40,6,800,25,12:32:16 NPK
120,70,40,6,800,25,12:32:16 NPK
100,75,45,6.5,900,30,12:32:16 NPK
105,75,45,6.5,900,30,DAP
110,75,45,6.5,900,30,DAP
115,75,45,6.5,900,30,DAP
120,75,45,6.5,900,30,DAP
100,80,50,7,1000,35,DAP
105,80,50,7,1000,35,DAP
110,80,50,7,1000,35,DAP
115,80,50,7,1000,35,DAP
120,80,50,7,1000,35,DAP
100,60,55,7.5,800,25,DAP
105,60,55,7.5,800,25,DAP
110,60,55,7.5,800,25,DAP
115,60,55,7.5,800,25,DAP
120,60,55,7.5,800,25,DAP
100,65,60,6,900,30,DAP
105,65,60,6,900,30,DAP
110,65,60,6,900,30,DAP
115,65,60,6,900,30,DAP
120,65,60,6,900,30,DAP
100,70,65,6.5,1000,35,DAP
105,70,65,6.5,1000,35,DAP
110,70,65,6.5,1000,35,DAP
115,70,65,6.5,1000,35,DAP
120,70,65,6.5,1000,35,DAP
100,75,40,7,800,25,DAP
105,75,40,7,800,25,DAP
110,75,40,7,800,25,DAP
115,75,40,7,800,25,DAP
120,75,40,7,800,25,DAP
100,80,45,7.5,900,30,DAP
105,80,45,7.5,900,30,DAP
110,80,45,7.5,900,30,DAP
115,80,45,7.5,900,30,DAP
120,80,45,7.5,900,30,DAP
100,60,50,6,1000,35,DAP
105,60,50,6,1000,35,DAP
110,60,50,6,1000,35,DAP
115,60,50,6,1000,35,DAP
120,60,50,6,1000,35,DAP
100,65,55,6.5,800,25,DAP
105,65,55,6.5,800,25,DAP
110,65,55,6.5,800,25,DAP
115,65,55,6.5,800,25,DAP
120,65,55,6.5,800,25,DAP
100,70,60,7,900,30,DAP
105,70,60,7,900,30,DAP
110,70,60,7,900,30,DAP
115,70,60,7,900,30,DAP
120,70,60,7,900,30,DAP
100,75,65,7.5,1000,35,DAP
105,75,65,7.5,1000,35,DAP
110,75,65,7.5,1000,35,DAP
115,75,65,7.5,1000,35,DAP
120,75,65,7.5,1000,35,DAP
100,80,40,6,800,25,DAP
105,80,40,6,800,25,DAP
110,80,40,6,800,25,DAP
115,80,40,6,800,25,DAP
120,80,40,6,800,25,DAP
100,60,45,6.5,900,30,DAP
105,60,45,6.5,900,30,DAP
110,60,45,6.5,900,30,DAP
115,60,45,6.5,900,30,DAP
120,60,45,6.5,900,30,DAP
100,65,50,7,1000,35,DAP
105,65,50,7,1000,35,DAP
110,65,50,7,1000,35,Magnesium Sulphate
115,65,50,7,1000,35,Magnesium Sulphate
120,65,50,7,1000,35,Magnesium Sulphate
100,70,55,7.5,800,25,Magnesium Sulphate
105,70,55,7.5,800,25,Magnesium Sulphate
110,70,55,7.5,800,25,Magnesium Sulphate
115,70,55,7.5,800,25,Magnesium Sulphate
120,70,55,7.5,800,25,Magnesium Sulphate
100,75,60,6,900,30,Magnesium Sulphate
105,75,60,6,900,30,Magnesium Sulphate
110,75,60,6,900,30,Magnesium Sulphate
115,75,60,6,900,30,Magnesium Sulphate
120,75,60,6,900,30,Magnesium Sulphate
100,80,65,6.5,1000,35,Magnesium Sulphate
105,80,65,6.5,1000,35,Magnesium Sulphate
110,80,65,6.5,1000,35,Magnesium Sulphate
115,80,65,6.5,1000,35,Magnesium Sulphate
120,80,65,6.5,1000,35,Magnesium Sulphate
20,15,20,5.5,700,25,Urea
25,15,20,5.5,700,25,Urea
30,15,20,5.5,700,25,Urea
20,20,25,6,800,30,Urea
25,20,25,6,800,30,Urea
30,20,25,6,800,30,Urea
20,15,25,6.5,900,25,Urea
25,15,25,6.5,900,25,Urea
30,15,25,6.5,900,25,Urea
20,20,20,5.5,1000,30,Urea
25,20,20,5.5,1000,30,Urea
30,20,20,5.5,1000,30,Urea
25,20,30,6,700,25,Urea
30,20,30,6,700,25,Urea
35,20,30,6,700,25,Urea
25,25,35,6.5,800,30,Urea
30,25,35,6.5,800,30,Urea
35,25,35,6.5,800,30,Urea
25,30,40,5.5,900,25,Urea
30,30,40,5.5,900,25,Urea
35,30,40,5.5,900,25,50:26:26 NPK
25,20,35,6,1000,30,50:26:26 NPK
30,20,35,6,1000,30,50:26:26 NPK
35,20,35,6,1000,30,50:26:26 NPK
25,25,40,6.5,700,25,50:26:26 NPK
30,25,40,6.5,700,25,50:26:26 NPK
35,25,40,6.5,700,25,50:26:26 NPK
25,30,30,5.5,800,30,50:26:26 NPK
30,30,30,5.5,800,30,50:26:26 NPK
35,30,30,5.5,800,30,50:26:26 NPK
25,20,40,6,900,25,50:26:26 NPK
30,20,40,6,900,25,50:26:26 NPK
35,20,40,6,900,25,50:26:26 NPK
25,25,30,6.5,1000,30,50:26:26 NPK
30,25,30,6.5,1000,30,50:26:26 NPK
35,25,30,6.5,1000,30,50:26:26 NPK
25,30,35,5.5,700,25,50:26:26 NPK
30,30,35,5.5,700,25,50:26:26 NPK
35,30,35,5.5,700,25,50:26:26 NPK
100,60,40,6,500,15,19:19:19 NPK
105,60,40,6,500,15,19:19:19 NPK
110,60,40,6,500,15,19:19:19 NPK
115,60,40,6,500,15,19:19:19 NPK
120,60,40,6,500,15,19:19:19 NPK
100,65,45,6.5,600,20,19:19:19 NPK
105,65,45,6.5,600,20,19:19:19 NPK
110,65,45,6.5,600,20,19:19:19 NPK
